Labels,Message
AX-NSPSMS,You have successfully registered on NSP. Your Application Id is KA202122006481877 NICSI
JM-UPGRAD,"Hi there, our 1:! Coaching session will help you resolve your concerns regarding this Executive PG Data Science program from IIITB; www.gs.im/l/Mqz8TQkV7Tq upgrad"
JK-JIOMRT,"Dear Customer, Big Summer Sale on JioMart Big discount on Home Lifestyle! Up to 80% off on furnishing,dining,toys & more. Shop now-http://1kx.in/33AurN *TCA"
JIO,"Dear User , You've got Specials coupon of Flat 33% off on sunglasses and Spectacles on My Winnings. Click on https://t.jio/winnings-FAS33 to claim. T&C"
AADHAAR,"OTP for Aadhaar (XX0799) is 316880 (valid for 10 mins)  To enhance security, Lock/Unlock your biometrics using mAadhaar/SMS Service/Visit uidai.gov.in"
JIO,"Welcome to Jio-AP & Telangana. Kindly enable Data Roaming to use data services.Data,Voice & SMS benefits will be as per your plan"
NOKIA,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+"
CP-INTSHP,"Dear Chetana , your application for Internship Training Program has been selected by employer.View details https://bit.ly/3VShn60"
AJIO,"Hey Chetana! Your AJIO order FN6048301754 is out for delivery For details, click here bit.ly/37ook6p"
AADHAAR,"OTP for Aadhaar (XX0799) is 316880 (valid for 10 mins)  To enhance security, Lock/Unlock your biometrics using mAadhaar/SMS Service/Visit uidai.gov.in"
JIO,"Dear User , You've got Specials coupon of Flat 33% off on sunglasses and Spectacles on My Winnings. Click on https://t.jio/winnings-FAS33 to claim. T&C"
Union Bank Of India,A/c *5614 Credited for Rs:1000 on 11-04-2023 15:00:24 BY Mob Bk ref no 34657665288 Avl Bal Rs:4342 -Union Bank of India
AADHAAR,"OTP for Aadhaar (XX0799) is 316880 (valid for 10 mins)  To enhance security, Lock/Unlock your biometrics using mAadhaar/SMS Service/Visit uidai.gov.in"
JX-620016,Recharge today with a jio plan of Rs.239 and above on your favourite Google Pay app
JA-DOTAPT,"While receiving an international call, if an Indian number or no number is displayed on your phone, please inform on DoT toll free number 1800110420 /1963"
TM-FLPKRT,"Dear Customer, Get our Mobile Repaired by Certified Technicians at your doorstep by FlipKart Home Services for Just Rs.99! Book now"
CP-UPRISD,336909 is your OTP for phone verification at Upraised
Dad,"Dear Customer, You have missed call from +919703782345 . The last missed call was at 01:45 PM on 23-4-2023 Thankyou, Team Jio"
AD-ISKCON,"Today , Most Sacred AKSHAYA TRITIYA. Pls Support ISKCON'S ANNADAN to Needy. A Pious day for Charity and Get LORD''S Blessing. Donate at www.iskconseva.in ISKCON"
Haritha,"Hey I'm busy right now, I will call you back later."
JK-INTSHL,Still thinking it over? Get Programming with Python training now at a special discoun! Click here to enroll now
TX-SFXRDR,"Namasthe Partner , Work Full-time or Part-time with Shadowfax and Earn upto Rs.70,000 every month. Also, get a joining bonus of up to Rs.2,500 + a Referral Bonus of Rs.6,500. Join Now"
CP-017676,"Dear we can offer you a work online and earn 5000-12000/ day according to your performance, no time limit, contact: https://wa.me/18043264534 BBKUMAR"
JZ-JioPay,50% Daily Data quota used as on 18-Mar-23 01:36. Jio Number : 9154096555 . Daily Data quota as per plan : 1.50 GB . To know more on how to manage your account through MyJio App.
VM-789429,"Ge ready to fly to your favourite destinations with our #StartOfSummer sale, with fares starting at INR 1,400! Book now till 24 Feb 2023 for travel from 12 Mar 2023 to 30 Sep 2023 . Book now"
CP-CCPROS,"Mekala, discover the secrets to landing your dream coding job! Attend our free webinar to find out more weurl.co/irXwUu - Coding Ninjas"
JD-DOMINO,"Dear Guest, your DOMINOS order is out for delivery with KIRAN KUMAR E...Click on https://dmn.trckin.net/JtMuR to track your order."
VM-iPaytm,Your deal from The Moms co. is here! Redeem now and save big on your next order on Paytm.
CP-DOMINO,Thanks for choosing Domino's . We will deliver your order hot and fresh in 20 mins| Order no. 14 | Amount:Rs.263.00 
